Name,Coordinates
Shinano,"37.2825811,138.832839;37.3801895,138.8111114;37.641988,138.944453;37.815637,139.063449;36.998399,138.616286;37.048242,138.673465;37.4974405,138.8494824;37.135228,138.735976;37.835752,139.040329;37.224886,138.780807;37.267074,138.851382;37.898496,139.014586;37.73019,139.061831;37.630922,138.925826;37.689621,139.030672;37.5432,138.82713;37.3076443,138.8016502;37.135858,138.736519;37.228212,138.781246;36.996589,138.615986;37.0458203,138.6699743;36.988964,138.572779;36.975826,138.548796;36.6849238,138.2800588;36.776491,138.333096;36.804121,138.35665;36.933707,138.416916;36.979939,138.493616;36.4567303,138.181306;36.560464,138.156864;36.6612418,138.26944;36.1830863,138.4829112;36.2545102,138.4181132;36.3240391,138.4133412;36.3410271,138.3424132;36.3892606,138.2533311;36.390041,138.2529271"
Tone,"35.869608,140.127366;35.947173,139.933314;35.918321,140.460789;35.843388,140.152145;35.843949,140.149871;35.5744795,138.4251886;36.821812,139.044464;37.042225,139.105774;36.561218,139.039429;36.517696,139.026184;36.804077,139.016891;36.885788,139.056473;36.747814,138.978485;36.6723768,139.000163;36.554199,139.036957;36.7719535,138.9711672;37.049686,139.108383;36.860058,139.058731;36.780418,138.96701;36.5001763,139.0167078;36.746433,138.982727;36.2302705,139.3962122;36.5677203,139.0457716;37.017445,139.121552;36.336975,139.07579;37.037502,139.113068;35.73891,140.835928;35.897201,140.574488;35.864497,140.316388;35.890995,140.05396;35.964562,139.924096;36.2097499,139.5827687;36.3136113,139.1242337;36.426819,139.033035;36.509762,139.019928;36.536339,139.027084;36.557854,139.042252;36.574944,139.050842;36.6305358,139.0390121;36.730946,138.980637;36.7914283,138.9855068;36.805359,139.032425;36.849823,139.057541;36.943993,139.095306;36.993488,139.114746;37.003887,139.119034;37.009083,139.119476;37.028545,139.115921;37.040359,139.107712;37.050636,139.108536;37.044281,139.106049"
Ishikari,"43.80647,142.8764683;43.7279895,142.9475062;43.8273212,142.8046433;43.8522085,142.6971936;43.8394985,142.7819379;43.8498778,142.7249369;43.8419914,142.7623591;43.7161103,142.985635;43.7061324,143.0079269;43.7827494,142.2903135;43.869868,142.5045482;43.8126549,142.4099627;43.7798668,142.3643633;43.7544933,142.26966;43.8351145,142.4509044;43.5126158,141.8979418;43.7207396,142.1733873;43.7141249,142.0489533;43.7106709,142.0690098;43.708221,142.0883451;43.7227085,142.144579;43.6295004,141.9062397;43.3074842,141.6642814;43.1243716,141.5418142;43.2287843,141.3530331;43.5854604,142.9848919;43.6253474,143.0065026;43.6558158,143.0460105;43.704727,143.0094274;43.7271386,142.9515738;43.7689792,142.9089044;43.8249695,142.8205475;43.8441979,142.7502417;43.856929,142.7008129;43.8994987,142.6307914;43.8835511,142.5154455;43.8347331,142.4493982;43.794738,142.3858958;43.7866826,142.319047;43.7542441,142.2564222;43.7293527,142.2224409;43.7273886,142.1710076;43.7262399,142.1431589;43.7055306,142.0748162;43.6743139,142.0114812;43.6279141,141.8943383;43.5731621,141.8803607;43.3903995,141.8217311;43.2804508,141.6560597;43.1165825,141.574824;43.2515565,141.3632921"
Teshio,"44.688203,142.2593262;44.5300293,142.3348954;44.5282983,142.3306544;44.5726423,142.3249691;44.7315009,142.1782222;44.1272596,142.6564841;44.0184144,142.7161444;44.1495554,142.4416095;44.1157717,142.6985227;44.0270837,142.7105861;44.1298791,142.4772015;44.3520978,142.4387619;44.2047426,142.3731614;44.2360636,142.3570007;44.3337529,142.4282953;44.4572994,142.3387164;44.7301176,142.1028809;44.7419254,142.1852156;44.6356593,142.2720459;44.5526942,142.3328964;44.4869105,142.3312125;44.4329276,142.4423215;44.3336436,142.416924;44.2313821,142.3570447;44.155663,142.4373901;44.1248229,142.5108119;44.113079,142.6023156;44.1268756,142.6724755;44.0696192,142.7328525;44.0224106,142.7135039;43.9842289,142.744602;43.9804298,142.8265214;43.9771453,142.8716303"
Kitakami,"39.7820609,141.1676318;38.975916,141.135619;39.485365,141.152065;39.542815,141.176575;39.517977,141.187477;39.178198,141.143803;39.9045319,141.1964797;40.008333,141.239667;38.856168,141.258716;38.93012,141.224034;40.043435,141.236899;39.41993,141.171615;39.723262,141.128178;40.024105,141.236343;39.830283,141.151171;39.0068898,141.1190346;39.785564,141.166664;39.431884,141.161437;39.300643,141.148849;38.762763,141.273914;38.558111,141.300916;38.69159,141.28965;38.59613,141.3017;38.711958,141.267242;38.775314,141.266392;38.525702,141.345114;38.553649,141.305374;38.581886,141.301313;38.653951,141.285786;38.718657,141.285235;38.730689,141.267439;38.829464,141.257514;38.901191,141.259245;38.926178,141.228187;38.9685028,141.1598259;39.013463,141.123316;39.151485,141.168602;39.298189,141.148374;39.383448,141.129336;39.448074,141.152709;39.488886,141.15218;39.554189,141.17504;39.626411,141.181975;39.7296823,141.1312279;39.807427,141.153303;39.8880123,141.1926342;39.938827,141.210304;39.98388,141.226332;40.017297,141.236738;39.597122,141.197522"
Abukuma,"38.0670921,140.8150335;38.061914,140.90737;37.911181,140.663375;37.934929,140.707992;37.93748,140.792993;37.385912,140.39945;37.153234,140.142828;37.413149,140.408772;37.414121,140.409744;37.159841,140.397879;37.1770899,140.0548194;37.644525,140.516686;37.272638,140.4070216;37.1294458,140.2927838;37.1162789,140.242919;37.245612,140.400684;37.464652,140.415412;37.32462,140.379093;37.550047,140.431255;37.391931,140.409668;37.1406849,140.1938817;37.503007,140.404525;37.1589677,140.1080927;37.1773929,140.0107054;37.750159,140.470185;38.0480421,140.9243942;38.073621,140.820179;37.975851,140.800061;37.935292,140.706728;37.91255,140.677453;37.8839571,140.6277204;37.762294,140.488898;37.694739,140.496612;37.6485423,140.5121743;37.605695,140.519292;37.58355,140.452888;37.553102,140.434839;37.486005,140.408302;37.464503,140.413775;37.392831,140.41015;37.377281,140.38854;37.344206,140.375199;37.319738,140.379956;37.274474,140.4091486;37.224118,140.396389;37.148364,140.381197;37.1212912,140.2353767;37.1568514,140.1139909;37.1771519,140.0226024;37.1716039,140.0762334"
Mogami,"38.68354,140.25189;38.9203078,139.815204;38.622549,140.346732;38.328843,140.165571;38.718819,140.215463;38.766797,140.053964;38.663557,140.286234;38.634219,140.329743;38.746157,140.123037;38.0639039,140.072112;38.28964,140.128083;38.4471356,140.3293739;38.306833,140.138576;38.0477905,140.0755463;38.226505,140.094318;38.764851,140.057746;38.3162583,140.1589784;38.27434,140.126532;38.005278,140.137774;37.911536,140.11835;38.3468591,140.1901828;38.43997,140.328331;38.668062,140.331363;38.242278,140.092833;38.258627,140.107767;37.8919948,140.1219374;37.9646909,140.138855;38.025672,140.1147049;38.1048386,140.0455585;38.2186223,140.0958272;38.241641,140.092119;38.258139,140.107491;38.27337,140.123651;38.295055,140.126195;38.311226,140.155409;38.33038,140.163785;38.3627475,140.2090132;38.3981663,140.3264369;38.515602,140.35302;38.562597,140.384527;38.601854,140.348804;38.63332,140.327802;38.657665,140.341396;38.675895,140.317744;38.664269,140.279422;38.701727,140.234031;38.728813,140.215684;38.739866,140.142109;38.76893,140.044425;38.8761942,139.8680316"
Kiso,"35.474454,137.347227;35.366903,136.812077;35.18738,136.678991;35.3067506,136.7316971;35.422778,136.978727;35.424947,137.005445;35.587131,137.548101;35.528767,137.533849;35.479486,137.384148;35.465697,137.102074;35.450953,137.275694;35.444346,137.062609;35.37835,136.920162;35.388541,136.935177;35.866201,137.725672;35.8633923,137.7211568;35.8586287,137.7163616;35.874851,137.744072;35.918845,137.769724;35.605818,137.6081895;35.641354,137.612551;35.638419,137.613324;35.8575875,137.7110454;35.124795,136.693548;35.327991,136.743775;35.279756,136.706778;35.379814,136.926165;35.409331,136.962558;35.430897,137.006618;35.443564,137.064752;35.469347,137.159936;35.460634,137.244341;35.475158,137.317557;35.486064,137.410756;35.5871325,137.5524364;35.538164,137.536786;35.633099,137.614869;35.6826304,137.6481807;35.721821,137.710883;35.772268,137.699906;35.807287,137.687283;35.834414,137.683727;35.8715314,137.738975;35.913178,137.769036;35.934052,137.782051;35.974015,137.769522;36.0105072,137.7699769;36.041972,137.777945;36.062161,137.764661"
Agano,"37.720681,139.380449;37.746371,139.232839;37.694964,139.582633;37.808383,139.15515;37.7439073,139.2602202;37.709313,139.560364;37.7356748,139.3005557;37.711307,139.474501;37.701001,139.48975;37.678168,139.571953;37.860089,139.169867;37.7600909,139.2187738;37.739713,139.312359;37.714291,139.358579;37.698956,139.390009;37.706173,139.478585;37.713179,139.518117;37.709451,139.56291;37.67938,139.572603;37.653518,139.622644;37.609409,139.65272;37.61306,139.703055;37.635315,139.73899;37.612619,139.807766;37.5935325,139.850168;37.5263436,139.8756627;37.502196,139.8856576;37.4808013,139.8970548;37.4069935,139.9161863;37.382411,139.92557;37.356639,139.91468;37.365611,139.906496;37.353377,139.918698;37.3488294,139.915593;37.313215,139.899557;37.303092,139.89714;37.2794179,139.9041104;37.2613633,139.8802638;37.251273,139.867251;37.237075,139.849076;37.2150862,139.7986855;37.2085821,139.7677974;37.1926197,139.7576718;37.1527394,139.7290352;37.131804,139.7143139;37.1128192,139.7182554;37.106846,139.716157;37.0876757,139.7001823;37.065329,139.670128;37.044482,139.647317;37.059753,139.65894"
Tenryu,"34.9410202,137.8356132;34.8701168,137.8082619;34.7619604,137.8209277;35.174055,137.812823;35.13635,137.797209;35.0765314,137.7994956;35.2381078,137.8350962;35.397638,137.809558;35.3538041,137.8327927;35.6376845,137.9350964;35.7981361,137.948144;35.212439,137.838272;35.306911,137.842963;35.5103193,137.8629339;36.51046,139.058975;36.499367,139.027634;35.6733042,137.9500892;36.02783,138.015262;35.9782335,137.9947727;35.9220365,137.992506;35.8124517,137.9444282;35.079057,137.840141;35.0158243,137.836488;34.944201,137.8324958;35.4424248,137.8176798;36.042125,138.028143;35.9896029,138.0032842;35.941697,137.989651;35.842002,137.963602;35.74526,137.966578;35.6732996,137.9520499;35.6019817,137.933018;35.472578,137.840663;35.434849,137.818832;35.408745,137.81698;35.373477,137.813967;35.316239,137.836791;35.274091,137.847853;35.227646,137.822944;35.187968,137.807636;35.138338,137.812283;35.084916,137.790387;35.079662,137.823103;35.03633,137.850338;34.9589976,137.8399099;34.902379,137.817497;34.7947761,137.8202048;35.4977442,137.8624168"
